name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,logCPM,PValue,PAdj,FDR,falsePos,sugar_1,Sugar_2,Blood_1,Blood_2
AAEL009330-RA-E1,128.8,239,18.5,12.573,3.7,5.9,8.68175237708347e-41,0,0,0,222,256,22,15
AAEL006138-RA-E1,54.2,0,108.5,0.001,-9.8,4.6,1.0245958996624e-40,0,0,0,0,0,123,94
AAEL002185-RA-E2,420,715,125,5.717,2.5,7.6,1.43745543792576e-40,0,0,0,707,723,117,133
AAEL011129-RA-E1,171,307,35,8.653,3.1,6.3,3.38163290576682e-40,0,0,0,292,322,34,36
AAEL001052-RA-E2,663.5,210.5,1116.5,0.188,-2.4,8.2,7.19306946564434e-40,0,0,0,199,222,1060,1173
AAEL001888-RF-E5,149.5,31.5,267.5,0.117,-3.1,6.1,7.74258272530512e-40,0,0,0,33,30,277,258
AAEL025303-RA-E1,48,0.5,95.5,0.009,-6.8,4.4,2.8252570327364e-39,0,0,0,0,1,88,103
AAEL005533-RB-E5,54.5,1.5,107.5,0.015,-6.1,4.6,6.00254377011207e-39,0,0,0,0,3,118,97
AAEL001837-RA-E2,195.5,349,42,8.267,3,6.5,8.76096781706327e-39,0,0,0,330,368,48,36
AAEL001005-RA-E3,3924,1429,6419,0.223,-2.2,10.8,1.65751632515133e-38,0,0,0,1470,1388,6015,6823
AAEL007030-RC-E4,299,76.5,521.5,0.147,-2.8,7.1,1.86497038612143e-38,0,0,0,64,89,516,527
AAEL009843-RA-E2,89.5,10.5,168.5,0.062,-4,5.3,2.61849431363069e-38,0,0,0,9,12,150,187
AAEL017536-RD-E3,446.8,764,129.5,5.894,2.6,7.7,3.11931253095877e-38,0,0,0,826,702,132,127
AAEL003259-RA-E3,398.8,674,123.5,5.44,2.4,7.5,3.84953917431071e-38,0,0,0,650,698,118,129
AAEL019828-RA-E1,73.8,141.5,6,22.625,4.5,5.1,3.93509182672752e-38,0,0,0,134,149,8,4
AAEL017262-RA-E2,1350.5,2317,384,6.031,2.6,9.3,6.30089204686541e-38,0,0,0,2223,2411,438,330
AAEL023634-RA-E2,81.8,157.5,6,26.491,4.7,5.3,1.108947681966e-37,0,0,0,172,143,1,11
AAEL014600-RA-E3,132.5,23,242,0.096,-3.4,5.9,1.32290655107536e-37,0,0,0,27,19,220,264
AAEL008079-RA-E1,903.8,1482,325.5,4.553,2.2,8.7,1.63680297925025e-37,0,0,0,1489,1475,343,308
AAEL012827-RA-E2,2177,852.5,3501.5,0.243,-2,9.9,1.81183256820936e-37,0,0,0,886,819,3542,3461
AAEL007097-RA-E1,628.2,203,1053.5,0.193,-2.4,8.1,1.9061757827212e-37,0,0,0,214,192,1121,986
AAEL012783-RA-E4,257.2,64.5,450,0.144,-2.8,6.9,2.40412618928551e-37,0,0,0,73,56,420,480
AAEL001331-RA-E3,317,73,561,0.13,-2.9,7.2,2.46586918903235e-37,0,0,0,85,61,614,508
AAEL012825-RA-E3,624.8,210.5,1039,0.203,-2.3,8.1,3.95736491206294e-37,0,0,0,226,195,1064,1014
AAEL006381-RA-E1,68.2,7,129.5,0.055,-4.2,4.9,1.06303987478681e-36,0,0,0,7,7,123,136
AAEL003606-RA-E2,217.2,51,383.5,0.133,-2.9,6.6,1.17280342206385e-36,0,0,0,50,52,425,342
AAEL000223-RA-E1,246.8,61.5,432,0.143,-2.8,6.8,1.49906527643961e-36,0,0,0,73,50,439,425
AAEL000442-RA-E1,649.5,234,1065,0.22,-2.2,8.2,1.95521837633337e-36,0,0,0,240,228,1030,1100
AAEL004031-RB-E2,49.8,98.5,1,80.551,6.3,4.6,3.14931708381858e-36,0,0,0,92,105,1,1
AAEL004523-RA-E2,1122.5,413,1832,0.225,-2.1,9,3.69819097523375e-36,0,0,0,415,411,1725,1939
AAEL017356-RG-E3,296.5,92.5,500.5,0.185,-2.4,7.1,9.69203108193069e-36,0,0,0,99,86,493,508
AAEL001887-RC-E1,68.2,6,130.5,0.047,-4.4,4.9,1.43054181448855e-35,0,0,0,8,4,115,146
AAEL026843-RA-E1,466.2,787,145.5,5.407,2.4,7.7,2.10132778007855e-35,0,0,0,798,776,128,163
AAEL007097-RA-E2,870.8,295.5,1446,0.205,-2.3,8.6,2.47165923060111e-35,0,0,0,278,313,1342,1550
AAEL000294-RA-E4,73,138,8,16.677,4.1,5.1,5.85763762433778e-35,0,0,0,130,146,9,7
AAEL004930-RA-E4,469,778.5,159.5,4.885,2.3,7.7,1.37102582721428e-34,0,0,0,806,751,149,170
AAEL010884-RB-E4,2431.8,3931,932.5,4.215,2.1,10.1,1.4441955267895e-34,0,0,0,3880,3982,862,1003
AAEL013885-RA-E1,1896,3079,713,4.318,2.1,9.7,3.21532281881107e-34,0,0,0,2874,3284,746,680
AAEL008289-RB-E2,304.8,510.5,99,5.149,2.4,7.1,3.25564401287831e-34,0,0,0,510,511,93,105
AAEL021995-RA-E3,52.8,102.5,3,31.352,5,4.7,4.41512909439196e-34,0,0,0,100,105,2,4
AAEL013612-RD-E7,226.2,386,66.5,5.811,2.5,6.7,4.45175794366541e-34,0,0,0,403,369,69,64
AAEL010975-RB-E1,140.8,250,31.5,7.967,3,6,7.26620818470045e-34,0,0,0,231,269,33,30
AAEL002701-RA-E4,138.5,30,247,0.12,-3.1,6,1.0054593273816e-33,0,0,0,33,27,223,271
AAEL014246-RB-E3,143.8,253.5,34,7.347,2.9,6.1,1.31921528234571e-33,0,0,0,268,239,34,34
AAEL000500-RA-E2,97,9.5,184.5,0.052,-4.3,5.4,2.23718899236224e-33,0,0,0,9,10,143,226
AAEL009760-RA-E1,209,355,63,5.59,2.5,6.6,3.11217287785458e-33,0,0,0,355,355,62,64
AAEL021735-RA-E1,71.8,0.5,143,0.006,-7.4,5,3.27554671603782e-33,0,0,0,0,1,190,96
AAEL008428-RA-E4,313.2,519.5,107,4.854,2.3,7.2,3.61688032209246e-33,0,0,0,532,507,108,106
AAEL002347-RA-E2,43.8,87,0.5,145.583,7.2,4.4,3.64045007548074e-33,0,0,0,97,77,1,0
AAEL006070-RA-E2,829.5,1340.5,318.5,4.211,2.1,8.6,3.87299515998176e-33,0,0,0,1343,1338,298,339
AAEL009018-RA-E1,300,499,101,4.939,2.3,7.1,4.36429202720201e-33,0,0,0,485,513,101,101
AAEL003899-RA-E6,88.8,162,15.5,10.449,3.4,5.4,6.03641417407645e-33,0,0,0,157,167,15,16
AAEL002759-RF-E5,472.2,778,166.5,4.671,2.2,7.8,6.44271425135684e-33,0,0,0,782,774,153,180
AAEL000442-RA-E4,1816,678.5,2953.5,0.23,-2.1,9.7,2.09059672795739e-32,0,0,0,636,721,2732,3175
AAEL001319-RB-E1,46.2,90.5,2,41.766,5.4,4.5,2.41644828082586e-32,0,0,0,92,89,1,3
AAEL004278-RA-E6,105,188,22,8.491,3.1,5.6,2.68489633230869e-32,0,0,0,184,192,24,20
AAEL014412-RA-E3,55,5,105,0.052,-4.3,4.6,3.39054540900596e-32,0,0,0,3,7,112,98
AAEL001696-RB-E5,38.8,1,76.5,0.018,-5.8,4.1,3.59247053332701e-32,0,0,0,1,1,81,72
AAEL001864-RA-E1,100,180,20,9.014,3.2,5.6,3.94156078421168e-32,0,0,0,172,188,19,21
AAEL026466-RA-E1,694.5,1179,210,5.61,2.5,8.3,4.44460010788829e-32,0,0,0,1193,1165,246,174
AAEL026304-RA-E1,69,129,9,13.698,3.8,5.1,7.27326559777506e-32,0,0,0,135,123,10,8
AAEL005384-RA-E4,517.8,176,859.5,0.205,-2.3,7.9,1.03436282726902e-31,0,0,0,194,158,908,811
AAEL008784-RA-E2,152,263,41,6.372,2.7,6.1,1.1178568569703e-31,0,0,0,253,273,41,41
AAEL010180-RA-E2,171.8,299.5,44,6.771,2.8,6.3,1.44927721410121e-31,0,0,0,317,282,51,37
AAEL026440-RA-E6,213.2,64.5,362,0.178,-2.5,6.6,2.1569410356504e-31,0,0,0,61,68,337,387
AAEL003970-RB-E6,119,216,22,9.761,3.3,5.8,2.5980914301744e-31,0,0,0,201,231,30,14
AAEL003318-RA-E4,104.5,22.5,186.5,0.121,-3,5.6,2.71844583278762e-31,0,0,0,23,22,201,172
AAEL014843-RB-E2,718.8,301,1136.5,0.265,-1.9,8.3,5.59444612674104e-31,0,0,0,302,300,1129,1144
AAEL002908-RA-E2,41.2,1,81.5,0.015,-6.1,4.2,6.02503786327282e-31,0,0,0,2,0,70,93
AAEL005961-RA-E2,2705.8,4642,769.5,6.031,2.6,10.3,6.49458269518918e-31,0,0,0,4206,5078,901,638
AAEL006576-RA-E4,81,147.5,14.5,10.205,3.4,5.3,6.59239900514732e-31,0,0,0,147,148,14,15
AAEL003899-RA-E3,64.2,120.5,8,14.247,3.8,5,7.01920559421417e-31,0,0,0,115,126,10,6
AAEL022632-RA-E5,131,228,34,6.715,2.7,5.9,7.57862083867499e-31,0,0,0,228,228,31,37
AAEL000776-RA-E1,339.5,125.5,553.5,0.227,-2.1,7.3,8.21071746283448e-31,0,0,0,124,127,534,573
AAEL005471-RA-E2,610.2,201,1019.5,0.197,-2.3,8.1,9.53383803849219e-31,0,0,0,197,205,895,1144
AAEL009955-RB-E7,2667.5,1124.5,4210.5,0.267,-1.9,10.2,9.89658251707865e-31,0,0,0,1130,1119,4483,3938
AAEL023188-RA-E3,272.2,93.5,451,0.207,-2.3,6.9,1.31169765219441e-30,0,0,0,86,101,439,463
AAEL017402-RA-E2,79,150,8,18.422,4.2,5.2,1.49981198848525e-30,0,0,0,176,124,5,11
